                                      extracted_emojis                              Sentiment_score
180  it is a good app that allows you make ur own v...     (0.3916666666666666, 0.6583333333333333)
181  take a look at the many birthday image frames,...                                 (0.45, 0.45)
182  i really really love this app and i really enj...                    (0.5, 0.6833333333333332)
183  well it's a great app all around even celebrit...                                  (0.8, 0.75)
184  pleasing experience with this application for ...                                   (0.2, 0.2)
185  it is fun and interesting and make you have to...                    (0.6, 0.5666666666666667)
186  it's so fun to operate. i love that it shuffle...                                   (0.4, 0.4)
187  regarding to the performance this tik tok vide...                                   (1.0, 0.3)
188  nice, but it would be best when you viral vide...                                 (0.5, 0.525)
189  its alittle hard to navigate. i was banned fro...    (-0.2916666666666667, 0.5416666666666666)
190  i love triller it puts u in different places w...                                  (0.25, 0.6)
191  this is a relly dooe way to be creative have f...                             (0.4125, 0.5875)
192  not bad so far.... tik tok but for rappers pre...    (0.20909090909090908, 0.7803030303030303)
193  now creating videos for my whatsapp status is ...                                (0.53, 0.505)
194  i love this app the filter is great and it is ...                (0.42500000000000004, 0.5925)
195  this app has been da bomb its really added a m...    (0.3666666666666667, 0.39999999999999997)
196  wu tang looks better here rather than instagra...    (0.6666666666666666, 0.47500000000000003)
197  this is a great app. it has amazing and intere...                  (0.7250000000000001, 0.725)
198  amazing app! love it!! 100% reccomended! do yo...     (0.7005208333333334, 0.5666666666666667)
199  thia is so fun. it keeps the kids distracted s...            (-0.0062500000000000056, 0.44375)
200  this is a great app i was able to find everyon...     (0.5499999999999999, 0.6208333333333333)
201  the best tik tok editor for producing a birthd...                                   (1.0, 0.3)
202  triller is a very lovely app and it's makes an...                  (0.575, 0.7875000000000001)
203  nice app....plz add some more effects so..we.c...     (0.5666666666666668, 0.7999999999999999)
204  this is a nice apps but you have to make like ...                                   (0.6, 1.0)
205  my experience with this application is very go...     (0.9099999999999999, 0.7800000000000001)
206  i give you five stars because it is a wonderfu...                                  (0.6, 0.72)
207  triller app is good i can see top notch singer...                (0.3028409090909091, 0.49375)
208  it is so fun and i just love it so much you ca...    (0.44000000000000006, 0.5599999999999999)
209  great dance and kyle busch gardens fun with yo...   (0.44999999999999996, 0.47500000000000003)
210  this will be even better if in future add a li...                (0.1590909090909091, 0.53125)
211  really awesome quality was excellent and easy ...     (0.6616666666666667, 0.7016666666666667)
212  use full for all ages to make entertainment an...                               (0.175, 0.275)
213  the glitch i had was gone and the videos turn ...                                (0.65, 0.625)
214  really a great experience and got to know lot ...                                  (0.8, 0.75)
215  itz good i really like it  it's too good and h...      (0.431060606060606, 0.5007575757575758)
216  i love this app because i was wondering if i c...                (0.3325, 0.45083333333333336)
217  this app like tik tok but our tik tok is best ...                  (0.85, 0.45000000000000007)
218  it provides a host of stylish effect and draw ...     (0.4285714285714286, 0.7857142857142857)
219   very versatile and a lot of music and videos!!!!                            (0.48828125, 0.3)
220  it's very convenient and user friendly app...g...     (0.2371212121212121, 0.4181818181818182)
221  i've been trying to download this app for almo...                                   (0.0, 0.0)
222  like using triller when i dont feel like going...                                   (0.0, 0.0)
223  i love this app i think it's good how u can ma...                  (0.575, 0.7000000000000001)
224  in this tik tok editor i can apply different p...                   (0.45, 0.7000000000000001)
225  this app is tremendously great as this anniver...                                (0.65, 0.625)
226  very nice  but we need beautifi mode like tikt...     (0.7600000000000001, 0.8333333333333334)
227  impressive application which is great to have ...     (0.9333333333333332, 0.9166666666666666)
228  triller is fun but at first it was confusing b...   (0.16250000000000003, 0.35833333333333334)
229  this app is diego but it could use live action...    (0.07878787878787878, 0.5333333333333333)
230  i am giving this if 5 star cause of its engine...     (0.4681818181818182, 0.6022727272727273)
231  gives amazing fun time experiences and keeps m...    (0.46666666666666673, 0.6666666666666666)
232  perfect for video blogs, music videos, youtube...                                 (0.75, 0.75)
233  this can get you on worldstar its good for doi...                    (0.6, 0.6000000000000001)
234  this app is great all around. also, it is a gr...     (0.8666666666666667, 0.7000000000000001)
235  i'm glad i found into this tik tok video edito...    (0.10416666666666666, 0.7708333333333333)
236  itz. a good app it helps me in so many ways li...                                  (0.6, 0.55)
237  can't stop installing. like have tried it so m...   (0.033333333333333326, 0.3416666666666666)
238  the app is good but the video is coming late r...    (0.36666666666666664, 0.6000000000000001)
239  all of my data together can be synchronised wi...                                   (0.0, 0.0)
240  man triller is soooo lit. i hated all social m...   (0.033333333333333326, 0.3416666666666667)
241  its good for you and your friends to make vide...                   (0.16666666666666666, 0.6)
242  best app in india currently, good ui/ux, stell...                  (0.65, 0.38333333333333336)
243  if you feel the need of birthday photo collage...                                   (0.0, 0.0)
244  this is good and best social media app i love ...   (0.46759259259259267, 0.46851851851851856)
245  i am download it bcoz tik tok has gone and the...     (0.7666666666666666, 0.8666666666666667)
246  i don't know why my video took so hard to post...    (-0.2958333333333334, 0.4708333333333333)
247  i find the app great i wouldn't even know bout...                  (0.10000000000000002, 0.45)
248  it app is very beautiful and very useful to ma...    (0.5452727272727274, 0.39090909090909093)
249  this is like the best app because i like the e...                                 (0.675, 0.6)
250  really good app. needs a bit more up-to-date f...                                  (0.6, 0.55)
251  i love it so much, am so amazed. it makes my v...                              (0.425, 0.5375)
252  its very cool because you can pick out your ow...                 (0.5275, 0.9225000000000001)
253  it doesn't register the spotify songs like id ...                              (-0.03125, 0.5)
254  triller is amazing! make and watch cool videos...     (0.6583333333333333, 0.7833333333333333)
255  this is really good app,i like this,but i cant...                    (0.7, 0.6000000000000001)
