                                      extracted_emojis                               Sentiment_score
241    every good app to use easily and easy to handle      (0.5222222222222223, 0.7555555555555556)
242  perfect way to keep up with old friends as wel...      (0.4722727272727273, 0.6509090909090909)
243  i don't understand certain things on the phone...     (0.16285714285714287, 0.4942857142857142)
244  very perfect nice performance nice upgrade i l...                     (0.5800000000000001, 0.8)
245  hello facebook team i tried many times to conv...                                    (0.5, 0.5)
246  this is the best social network app. i love fa...     (0.30476190476190484, 0.4333333333333333)
247  i have had difficulty keeping up with my phone...     (0.18257575757575759, 0.4848484848484848)
248  beautiful apps in social media all day and nig...     (0.44166666666666665, 0.5333333333333333)
249  love this game...trying to improve brain funct...                                  (0.625, 0.6)
250       excellent social media platform. i love it.       (0.5111111111111112, 0.5555555555555555)
251  i like facebook if i'm careful to keep things ...     (0.00833333333333334, 0.6126373626373626)
252  i would like to request for a new feature for ...    (0.13636363636363635, 0.45454545454545453)
253  sure would be nice to access my accounts after...      (0.3666666666666667, 0.7962962962962963)
254  this app is nice we can talk with family and f...                                    (0.6, 1.0)
255  no problems at all. sometimes it crashes but t...                                    (0.0, 0.1)
256  facebook works is easy is to is easy is done o...      (0.4666666666666667, 0.6666666666666667)
257  now my face looking better healthy and skin. b...      (0.3287878787878788, 0.6057575757575757)
258  facebook is very good and the layout is very w...                    (0.5549999999999999, 0.54)
259  plz bring the 'deactivate' & 'delete' options ...     (0.10904761904761903, 0.6952380952380952)
260  recommend if you wanna post random things and ...                                 (-0.25, 0.45)
261  now its very good and really fast app. just la...      (0.5549999999999999, 0.6900000000000001)
262  i think facebook is turning into something ama...     (0.15666666666666668, 0.3983333333333333)
263  i can't download my facebook i don't know why ...                                    (0.0, 0.0)
264  please off the all ads when i play video adds ...                                    (0.0, 0.0)
265    good, no words to describe everything goes well                     (0.7, 0.6000000000000001)
266  it was a very easy experience to upload this p...      (0.2816666666666667, 0.7321428571428572)
267  i really enjoyed the app, it was unbelievable ...                     (0.4166666666666667, 0.9)
268  it's an good app but it needs more songs like ...                                   (0.6, 0.55)
269    on the story. photo upload quality was very bad     (-0.9099999999999998, 0.8666666666666667)
270  it is really a good app for entertainment, new...                                   (0.85, 0.8)
271  excellent job,i was logged out from my face bo...    (0.39999999999999997, 0.39999999999999997)
272  ive been using facebook for 4 yrs now and this...    (0.13392857142857142, 0.46726190476190477)
273  i prefer to be able to communicate with friend...                  (0.45906250000000004, 0.765)
274  great applications for communicate with worldw...                                   (0.8, 0.75)
275  its beautiful, i live this apps. for my facebo...      (0.4621212121212121, 0.7000000000000001)
276  so nice to listen wake up to music every morning.                                    (0.6, 1.0)
277  all my experiences dealing with facebook they ...                            (0.48875, 0.61375)
278  very good experience with this app, i found my...      (0.6366666666666666, 0.7600000000000001)
279  i always found this app to be informative,ente...                                    (0.5, 1.0)
280  why i can't log out anymore? he just returns t...                                    (0.0, 0.0)
281  this is a very good app, i enjoy running it, h...                               (0.43875, 0.51)
282  it was great experience sharing thoughts and i...      (0.2777777777777778, 0.4388888888888889)
283  this is excellent app if my conversation safe ...      (0.6333333333333333, 0.7000000000000001)
284  i love fb but i don't have fb reel how can i f...                                    (0.5, 0.6)
285  good app, i must give a like to share your mus...                               (0.625, 0.6875)
