                                      extracted_emojis                               Sentiment_score
279  excellent no headache godsend for my simple ne...                     (0.5, 0.6785714285714286)
280  it works right out of the box without the sill...    (-0.10714285714285715, 0.7053571428571428)
281  secure. only downside is no way to mass downlo...                                    (0.2, 0.8)
282  excellent however sometimes my messages sent t...                                (0.4675, 0.76)
283                 good secure, easy to use interface      (0.5111111111111112, 0.6777777777777779)
284  just a good app. things are very private. unle...                 (0.31875, 0.5906250000000001)
285    easy to use and is convenient anywhere anytime!      (0.5416666666666667, 0.8333333333333334)
286  never a glitch, most reliable message app. i h...                                    (0.5, 0.5)
287  perfect phone calls between australia and sweden.                                    (1.0, 1.0)
288              excellent app!! secure and reliable!!                                 (0.8125, 0.8)
289  works great as a replacement for the stock mes...                                   (0.8, 0.75)
290      best communication app, and way more private.                    (0.5, 0.39166666666666666)
291  it became from useless to my most used app wit...                                   (0.0, 0.35)
292  love using the signal private messanger, very ...                   (0.2333333333333333, 0.425)
293  all work perfectly, one of the best app for yo...                                   (1.0, 0.65)
294  it works. sms, voice, just fine and not owned ...                     (0.4166666666666667, 0.5)
295  great app, would be even better if i could edi...                                 (0.65, 0.625)
296  works well in all circumstances. very persiste...                                    (0.2, 0.3)
297  brilliant. nice to have privacy protected. goi...                     (0.5, 0.7666666666666666)
298         able to text everyone but improved privacy                                  (0.5, 0.625)
299              easy to use. feel safe with messages.      (0.4666666666666667, 0.6666666666666667)
300  for once an app that doesn't show your online/...     (0.24000000000000002, 0.6791666666666666)
301  everytime am glad to see that whatever i deman...                    (0.48, 0.6383333333333334)
302  so far so good. i'm positively impressed and d...      (0.3429292929292929, 0.6555555555555554)
303  this 5 star rating is contingent on you keepin...                                  (0.25, 0.75)
304  this app seems every bit as good as whatsapp b...    (0.23555194805194807, 0.43993506493506496)
305  great experience so far. very close to feature...     (0.15454545454545457, 0.6795454545454546)
306  4 stars changed 5 now. i hadn't been using it ...      (0.2348148148148148, 0.5952380952380952)
307  the app is great. but signal should get the wo...                                  (0.475, 0.7)
308  very pleased to have a secure and audited mess...                                  (0.525, 0.8)
309    app is good working on huawei p30 lite. thanks.                    (0.44999999999999996, 0.4)
310  texts have worked well and went thru. calls ar...   (-0.01249999999999999, 0.37916666666666665)
311  love signal!! i hope it will remain free from ...                 (0.39375, 0.4666666666666666)
312  great app, security is top-notch. feature requ...                  (0.3675, 0.6849999999999999)
313            great ui with better data protection !!                             (0.790625, 0.625)
314  i love it and happy it is easy to use and navi...      (0.5777777777777778, 0.8111111111111112)
315      always quick easy to understand and practical      (0.3833333333333333, 0.6666666666666667)
316  top notch encryption and far better than most ...                                  (0.4, 0.625)
317  have been using signal for a few months now. a...                   (0.22000000000000003, 0.35)
318                 easy to use and it does work welll     (0.43333333333333335, 0.8333333333333334)
319  using it for four months now. working good on ...                     (0.4666666666666666, 0.5)
320  one of the best apps. it's like whatsapp, inst...     (0.5499999999999999, 0.39999999999999997)
321  encrypts and doesn't share my information like...                                    (0.1, 0.4)
322  so far seems like a really nice app, additiona...                     (0.4333333333333333, 1.0)
323  highly recommended to everyone. old timer here...    (0.32666666666666666, 0.47333333333333333)
324  the signal privacy messaging application is si...     (0.12142857142857144, 0.4153061224489796)
325  excellent app. allows me to download only the ...     (0.09226190476190477, 0.5952380952380952)
326  pleased with the signal private messaging app....     (0.20555555555555557, 0.4347222222222223)
327  it's just a very fast and pleasant app for mes...     (0.49666666666666665, 0.8733333333333333)
328  nice, simple, more features, just need to reor...     (0.43376623376623374, 0.6302411873840444)
329  a handy encrypted app. good for comms between ...                    (0.6499999999999999, 0.75)
330  highly appreciated very nice for contact to ne...                                 (0.32, 0.425)
331  really happy that the user base is growing. i'...     (0.1449427609427609, 0.47000673400673404)
332  much better then other messaging apps.. no stu...                   (0.2583333333333333, 0.625)
333  a tidy little app that i can use to run sms as...     (0.14702380952380953, 0.5460317460317461)
334  so far, so good. no privacy or odd security ch...     (0.07916666666666666, 0.3645833333333333)
335       works very well, and supposedly very secure.                                  (0.36, 0.54)
336  awesome,        ,   thanks sir for updating st...                                    (0.6, 0.6)
337                  easy to use. easy to add friends.     (0.43333333333333335, 0.8333333333333334)
338            excellent app for messaging and privacy                                    (1.0, 1.0)
339  scrapped all other messengers for this. it's a...     (0.31250000000000006, 0.6133333333333332)
340  wish i switched years ago. simple to use for t...     (0.24285714285714285, 0.4117346938775511)
341  reliable, fantastic app. video calls are excel...      (0.5708333333333333, 0.7444444444444445)
342  the only thing i have negative to say is that ...     (0.11856060606060605, 0.6632575757575757)
343  video call clarity has improved. for the deskt...    (0.31666666666666665, 0.49444444444444446)
344  best chat app ever. however, half of my contac...      (0.2777777777777778, 0.2888888888888889)
345  i'm generally satisfied. great that it's open ...       (0.2741161616161616, 0.522979797979798)
346  signal so far has been a pleasure to use. i co...     (0.24642857142857144, 0.7089285714285714)
347  linking to desktop for redmi note 11 doesn't w...                                  (0.25, 0.75)
348  started using because of security reasons and ...                  (0.2729166666666667, 0.6125)
349  good.places privacy back in our hands! so supp...                                   (0.1, 0.55)
350  excellent app but you need to know there is a ...                                    (1.0, 1.0)
351  this is by far the smoothest communications ap...      (0.2872727272727273, 0.6275757575757577)
352  it's a messaging app that works, what more can...   (0.052083333333333336, 0.36041666666666666)
353  i'm a big fan of the privacy this app provides...                                    (0.0, 0.1)
354  this seems like a very nice app. i currently h...     (0.29333333333333333, 0.5944444444444444)
355  secure and encrypted communication where they ...      (0.4666666666666666, 0.5666666666666668)
356  clean interface with no crashing or bugs. i've...      (0.3666666666666667, 0.7000000000000001)
357  this app is a blessing to many people who live...                   (0.3090909090909091, 0.475)
358  works great, i talk with people all over the w...     (0.23611111111111113, 0.5097222222222222)
359  really amazing app! i personally think the cal...                                 (0.325, 0.45)
360  the app is fast and very convenient. a sure an...      (0.3190476190476191, 0.5174603174603175)
