                                      extracted_emojis                               Sentiment_score
195  this app is so addicting, so be careful. i lik...     (0.18285714285714288, 0.5542857142857143)
196  it's better than a sharp stick to the eye! jus...     (0.20781093906093903, 0.5565934065934065)
197  in short its entertainment at its purest form,...   (-0.03333333333333333, 0.38333333333333336)
198  this is the best app ever the app doesn't have...                                  (0.85, 0.45)
199  this app is so cool! you can make a lot of fri...                              (0.71875, 0.475)
200  aha! i really like this app i swr this is the ...                   (0.17500000000000002, 0.65)
201  hi, support me on a journey with old- & new-mo...    (0.44000000000000006, 0.32999999999999996)
202  i love watching it its amazing i could watch i...      (0.2692307692307693, 0.4461538461538463)
203  awesome experience to meet so many great peopl...                    (0.6199999999999999, 0.77)
204  hello tiktok i really like this app, but pleas...   (-0.11249999999999999, 0.42500000000000004)
205  this app is amazing not only entertaining but ...     (0.33095238095238094, 0.8392857142857143)
206  i loveee tiktok✨✨. its just an amazing app to ...     (0.3090909090909091, 0.48863636363636365)
207  love this app i learn new things everytime i o...     (0.27933884297520656, 0.5458677685950413)
208  i absolutely love this app i spend atleast 2-1...                (0.40625, 0.44999999999999996)
209  i enjoy this lovely app, because i found exper...                                 (0.45, 0.625)
210  i love tiktok but i want them to bring back cl...                (0.11875, 0.33958333333333335)
211  this app is amazing! but only when i post a dr...     (0.38333333333333336, 0.7666666666666666)
212  love browsing tik tok never cease to bore me ....      (0.30727272727272725, 0.450909090909091)
213  easy to use, no ads, what else would you want?...     (0.32083333333333336, 0.6166666666666667)
214  this app is really fun because, sometimes peop...     (0.5499999999999999, 0.38333333333333336)
215  i absolutely love the app it's a great way to ...      (0.5583333333333333, 0.5166666666666667)
216  it's an amazing application , fun and exciting...     (0.42467532467532465, 0.6727272727272728)
217  i recommend this app is super funny with dansc...                  (0.2875, 0.7569444444444443)
218  this app makes me annoying but makes me feel f...                (0.03749999999999998, 0.65625)
219  i love to tiktok but the only problem i have i...                   (0.1590909090909091, 0.525)
220  this is am amazing app when you have seen lot ...     (0.36250000000000004, 0.8624999999999999)
221  growth is a bit easier than on youtube. i don'...                                    (0.0, 0.0)
222  tiktok is great and better than anything else ...      (0.3744107744107744, 0.4351851851851852)
223  this app is wonderful! if you're trying to fin...      (0.4468013468013468, 0.6572390572390573)
224  this app is just the best app i've come across...                                    (0.4, 0.5)
225  it's the best app ever you can watch and comme...                                 (0.8125, 0.4)
226  tiktok is a wonderful app. i love watching the...                 (0.33999999999999997, 0.5875)
227  possibly the best app ever created to watch co...                                (0.275, 0.495)
228  we can present our talent n emotionals in this...                            (0.21875, 0.16875)
229  im a tiktokker and i not have any problems wit...                            (0.41875, 0.51875)
230  a fun and adventure full experience!you can sc...     (0.11249999999999998, 0.3333333333333333)
231  in beginning i thought tiktok is waste of time...                                   (0.15, 0.5)
232  edit : the below problem was fixed so far so g...      (0.1893650793650794, 0.5597883597883597)
233  every since the past 2 updates it won't let me...                                 (-0.25, 0.25)
234  i like it very much it's just it take lot of s...                                (0.227, 0.647)
235  this app is an awesome app it always makes me ...                                    (0.9, 1.0)
236  this is finest app have ever hard, you get to ...     (0.09327200577200578, 0.5307539682539683)
237  this app is really great,good at entertainment...   (0.022222222222222213, 0.24444444444444446)
238  i am not in it for clout, i just think that un...     (0.5681818181818181, 0.37727272727272726)
239  hi. i have an account can you please look into...                             (-0.0625, 0.6875)
240  it's a fun app you should get and it's easy to...     (0.43333333333333335, 0.6055555555555556)
241  will i remember when i first started using thi...      (0.7627604166666666, 0.6944444444444443)
242  it's excellent but i have one question i was v...                                    (1.0, 1.0)
243  give it like 2 weeks for the algorithm to adju...                                    (0.0, 0.0)
244  tiktok is excellent app i have grained alot of...      (0.5857142857142857, 0.6571428571428573)
245  this app is some what great, some filters on t...      (0.2111111111111111, 0.7055555555555555)
246  so glad you updated the app to where you could...                              (0.484375, 0.75)
247  great app! amazing how much effort is put into...                    (0.67, 0.6199999999999999)
248  when i'm on tiktok i can escape my reality and...   (0.045500000000000006, 0.34700000000000003)
249  i love this app but there's a problem with the...    (0.10610795454545453, 0.45265151515151514)
250  so far so goot, it works and connect people..g...                                  (0.05, 0.55)
251  tiktok is fine here , is full of excitement ,e...     (0.40627705627705624, 0.4636363636363637)
252  tiktok really good i really wanna stay on it f...    (0.19999999999999996, 0.42857142857142855)
253  very entertaining i can laugh,cry on this app ...      (0.8833333333333333, 0.9700000000000001)
254  it's a fun app that you can do anything on and...                   (0.15416666666666665, 0.45)
255  i am indeed very fond of this app it has broug...      (0.3454545454545454, 0.3181818181818182)
256  time travel is possible! i've found the secret...      (0.04040404040404041, 0.420959595959596)
257  it's a great app,you can make videos and share...                 (0.30000000000000004, 0.6025)
258  my favorite favorite saved videos are gone and...                                    (0.5, 1.0)
259  this app has been very good so far and i thank...      (0.38212121212121214, 0.744848484848485)
260  effects are no more working on double exposure...   (-0.016666666666666663, 0.2333333333333333)
261  very addicting, but i will say i've learned al...    (0.17708333333333331, 0.41666666666666663)
262  it is really good, fun, and it has a lot of in...                    (0.5, 0.43333333333333335)
263  2022 very entertaing and easy to use app. howe...     (0.10347222222222223, 0.5305555555555556)
264  so many new things to see and explore funny,sa...     (0.25606060606060604, 0.4340909090909091)
265  it's very good social platform to make short v...     (0.36083333333333334, 0.4116666666666667)
266  i love this app it taught me a lot of dances a...                     (0.6, 0.6000000000000001)
267  tiktok is more than just a app they're lot to ...                                   (0.28, 0.5)
268  best site out there for the unique, the quirky...                              (0.21875, 0.825)
269  it's a very good app there are a lot a filters...                   (0.32999999999999996, 0.79)
270  i have tiktok for pretty long time, but recent...                 (-0.00277777777777778, 0.575)
271  i love tiktok 100% but there's a bug, when i r...                              (0.0875, 0.4125)
272  on live streams there can be pedoes there is s...              (-0.032575757575757536, 0.59375)
273  love it!! totally addicting. lots of great, fa...                    (0.5037499999999999, 0.72)
274  pretty good! but they should add a feature whe...                              (0.7625, 0.8125)
275  i love it, good way to get a lot of new info a...      (0.44227272727272726, 0.730909090909091)
276  happy , easy to use and interaction takes away...      (0.5466666666666666, 0.6666666666666667)
277  i think tik tok is pretty interesting,it's coo...                                  (0.3, 0.825)
278  o just love that there are multiple things to ...      (0.2675925925925926, 0.5064814814814815)
279  yeah it's it's true this app is enjoful but on...     (0.11666666666666665, 0.5722222222222222)
280  this tik tok app is very good and i want to sa...                  (0.6275, 0.6450000000000001)
281  i really enjoy the app there is so many videos...    (0.36406249999999996, 0.48125000000000007)
282  tiktok is a really nice app that brings a mome...                   (0.575, 0.6000000000000001)
283  i love the app but all the changes to the layo...                   (-0.15, 0.6477777777777778)
284  a very good app and has gotten better througho...      (0.8304166666666667, 0.6766666666666667)
285  i'm barely getting the hang of it i'm liking t...                                 (0.025, 0.05)
286  the videos are incredible and the posting is i...                                 (0.625, 0.65)
287  the app is the best among i have ever seen on ...     (0.34888888888888886, 0.2977777777777778)
288  as a 38 year old marine corps combat veteran, ...    (0.11761363636363636, 0.21363636363636362)
289  i love this app it helps me carm down and make...     (0.08493265993265993, 0.5461279461279461)
290  i love this app because it is very entertainin...     (0.44659090909090904, 0.7411363636363636)
291  you can connect with all types of tiktokers th...     (0.22727272727272727, 0.5454545454545454)
292  love this app. it's addictive. i am always ent...     (0.45999999999999996, 0.6900000000000001)
293  any changes to the apps? it use to have more o...                                  (0.25, 0.75)
294  i think that tik tok is a good app because the...      (0.4916666666666667, 0.5666666666666667)
295  i not only watch inspirational people on here ...                    (0.2676136363636364, 0.75)
296  i love tiktok,i enjoy making videos and watchi...      (0.2788095238095238, 0.5021428571428571)
297  very easy to use and love spending time on the...      (0.5422222222222223, 0.8666666666666667)
298  this app is amazing , at. first when i downloa...                 (0.3416666666666667, 0.66875)
299  tik tok is a good app for fun , art , design ,...                                    (0.5, 0.4)
300  i like the promotion tool, its ease of use and...      (0.5121212121212121, 0.6681818181818183)
301  there is i got some problem! when i upload the...                  (0.31812500000000005, 0.475)
302  this is a great app to socialize and get to kn...                     (0.5, 0.6166666666666667)
303  here someone can really help? i have been writ...   (0.025974025974025983, 0.42857142857142855)
304  i love tik-tok it gives me lots of funny video...     (0.40499999999999997, 0.6950000000000001)
305  very good, but i have a problem with my accoun...     (0.24777777777777776, 0.3377777777777778)
306  best app ever to make memories with my friends...                              (0.7375, 0.6125)
307  i'm very new to tiktok. i'm really loving it. ...      (0.2531353574810606, 0.5992424242424242)
308  it's a great communication of entertainment of...      (0.6333333333333333, 0.7166666666666667)
309  i wish editing videos were a little more easie...                               (0.3375, 0.575)
310  i like it very much when you first login it'll...                (0.361875, 0.4358333333333333)
