                                      extracted_emojis                               Sentiment_score
174  beautiful app, hope they can import, it's only...                                  (0.425, 1.0)
175                amazing concept! needs to take off                      (0.7500000000000001, 0.9)
176              devs needs to be concentrate on bugs.                                    (0.0, 0.0)
177  promote the vero app .. make more and more peo...                                    (0.5, 0.5)
178                       nice app..just need username                                    (0.6, 1.0)
179            keeps getting better! give it a chance.                                  (0.625, 0.5)
180           pretty cool if you don't like censorship                                  (0.3, 0.825)
181  this is awesome, others comments is not really...     (0.43333333333333335, 0.6666666666666666)
182        please make better vero app in next updates                                  (0.25, 0.25)
183     neat and clean fb alternative, fast and no ads                    (0.2833333333333333, 0.65)
184       no advertising or sponsored links. loving it                                   (0.6, 0.95)
185          i think it is a good app for social media    (0.36666666666666664, 0.33333333333333337)
186  great concept, design and a new way of social....      (0.4681818181818182, 0.6022727272727273)
187        great app but still waiting to be verified.                                   (0.8, 0.75)
188  2.8 stars is not right, such a relief from fac...    (-0.07142857142857142, 0.5178571428571428)
189              add the features to use more accounts                                    (0.5, 0.5)
190                 i love the free market on this app                                   (0.45, 0.7)
191                   best app for meeting new friends     (0.5681818181818181, 0.37727272727272726)
192  i'm really excited to see where this is going ...                                 (0.375, 0.75)
193                             good but too many bugs                                   (0.6, 0.55)
194                         love the app. it's amazing                                  (0.55, 0.75)
195                           i loved it! ad free app.                                 (0.6375, 0.8)
196                                    so far so good.                    (0.39999999999999997, 0.8)
197  i see no problems with this app tbh, i like it!!!                                    (0.0, 0.0)
198            gooood...please add story and time line                                    (0.0, 0.0)
199                            awesome new social app!      (0.3926767676767677, 0.5070707070707071)
200              i'm hoping it grows, it's a great app                                   (0.8, 0.75)
201  this will definetly change instagram in near f...                                (0.05, 0.2625)
202  loved it. cool ideas. maybe an instagram kille...                 (0.56875, 0.7250000000000001)
203               awesome....you need to try this once                                    (0.0, 0.0)
204                                       great app ❤️                                   (0.8, 0.75)
205         say welcome to the future... thnx to #vero                                 (0.4, 0.5125)
206                                          good job!                   (0.875, 0.6000000000000001)
207                               breath of fresh air!                                  (0.375, 0.5)
208                  i really like original followers                                (0.2875, 0.475)
209                      it's really good... i like it                     (0.7, 0.6000000000000001)
210         can you put a translate function in please                                    (0.0, 0.0)
211                 کاشکی زبان فارسی هم پشتیبانی میکرد                                    (0.0, 0.0)
212                                       loved it ..!                                  (0.875, 0.8)
213                                        incredible!                                    (1.0, 0.9)
214   plz provide a add account option for page.......                                    (0.0, 0.0)
215                                          very nice                                   (0.78, 1.0)
216                   will be the best social for 2k18     (0.5166666666666667, 0.18333333333333332)
217                                           love it!                                  (0.625, 0.6)
218                          way better than instagram                                    (0.5, 0.5)
219                            amazing beta than insta                     (0.6000000000000001, 0.9)
220                           best of all social media     (0.5166666666666667, 0.18333333333333332)
221                              keep up the good work                     (0.7, 0.6000000000000001)
222                      nice aap graphic is excellent      (0.5333333333333333, 0.7999999999999999)
223                                  very interesting.                                  (0.65, 0.65)
224                                         i love it                                     (0.5, 0.6)
225                                      great app :-)                                 (0.65, 0.875)
226                                 so ultimate yaar                                      (0.0, 1.0)
227  nobody knows about data usage?? vere data usag...                                    (0.0, 0.0)
228                        superb with latest features                                  (0.75, 0.95)
229                                   i really like it                                    (0.2, 0.2)
230                                              good.                     (0.7, 0.6000000000000001)
231                                        itz amazing                     (0.6000000000000001, 0.9)
232                                        good design                     (0.7, 0.6000000000000001)
233                                          great app                                   (0.8, 0.75)
234                                           nice app                                    (0.6, 1.0)
235                                        worth a try                                    (0.3, 0.1)
236                                            love it                                    (0.5, 0.6)
237                                            awesome                                    (1.0, 1.0)
238                                            love it                                    (0.5, 0.6)
239                                              great                                   (0.8, 0.75)
240                                               cool                                  (0.35, 0.65)
241                                            amazing                     (0.6000000000000001, 0.9)
242                                              great                                   (0.8, 0.75)
243                                          excellent                                    (1.0, 1.0)
244                                            amazing                     (0.6000000000000001, 0.9)
245                                               good                     (0.7, 0.6000000000000001)
246                                            amazing                     (0.6000000000000001, 0.9)
247                                         impressive                                    (1.0, 1.0)
248                                            amazing                     (0.6000000000000001, 0.9)
249                                          epic one                                     (0.1, 0.4)
250                                       awseom realy                                    (0.0, 0.0)
251                                        a super app      (0.3333333333333333, 0.6666666666666666)
252                                            osm app                                    (0.0, 0.0)
253                                      instagram 2.0                                    (0.0, 0.0)
254                                       :) i like it                                    (0.5, 1.0)
255                                          awwwliiii                                    (0.0, 0.0)
256                                                nyc                                    (0.0, 0.0)
257                                                tnz                                    (0.0, 0.0)
258                                               عالی                                    (0.0, 0.0)
259                                               خوبه                                    (0.0, 0.0)
260                                               خوبه                                    (0.0, 0.0)
261                                               bedt                                    (0.0, 0.0)
262  love it. this is going to replace instagram. i...      (0.3196969696969697, 0.5301406926406926)
263  from what i can see so far, it is a sell thoug...     (0.18181818181818182, 0.5949494949494949)
264  can see users being so harsh with the bugs it ...                                 (0.25, 0.475)
265  i think this app has a lot of potential. sure ...     (0.04930555555555557, 0.5212962962962963)
266  i trust the team will fix bugs and application...    (0.17555555555555555, 0.39111111111111113)
267  by far the best.. reminds me of the first stag...     (0.23863636363636362, 0.4696212121212121)
268  it's a newer app and service, so obviously the...     (0.19190476190476188, 0.5866666666666667)
269  im sold. i love this idea, i love the layout, ...     (0.20069444444444443, 0.6305555555555556)
270  finally... after years and years of facebook w...    (0.014047619047619055, 0.4316666666666667)
271  i like the concept a lot,  but there are a few...                (-0.012499999999999997, 0.175)
272  it's really different and i do like that we ca...     (0.24363636363636365, 0.7154545454545455)
273  most definitely has the potential to become on...      (0.3416666666666667, 0.5583333333333333)
274  great social media app, gives you the best of ...      (0.4904761904761905, 0.3880952380952381)
275  the only issue i've had is sometimes i need to...                                   (0.35, 0.8)
276  it's a great idea and i am happy to be among t...     (0.23061224489795926, 0.6683673469387755)
277  props for taking a bold step in a tough market...     (0.26851851851851855, 0.7138888888888889)
278  wow. interface is so super cool. a must try so...      (0.2033333333333333, 0.5166666666666667)
279  i think this app is amazing, i really like the...                  (0.375, 0.42500000000000004)
280  it has a few bugs but they are being fixed but...     (0.16727272727272727, 0.2709090909090909)
281  finally a more organized version of facebook a...     (0.02000000000000004, 0.5933333333333333)
282  it's good so far. it has bugs but they've been...                    (0.39999999999999997, 0.8)
283  i've been using it for a few days, and what im...     (0.1866666666666667, 0.38333333333333336)
284  the best social media app in the game. i signe...     (0.1513888888888889, 0.34027777777777773)
285  yes it's buggy but it's dealing it. but when t...    (0.16282828282828282, 0.31202020202020203)
286  initially i have given this app 2 stars for no...      (0.2708333333333333, 0.3194444444444444)
287  everything great but one problem sometime ever...                   (0.26666666666666666, 0.25)
288  ive had it for a week now and i love it. very ...     (0.2869047619047619, 0.45999999999999996)
289  great app! clean and annoying ads. enjoying th...     (0.29204545454545455, 0.6214015151515151)
290  interface looks great so far! nice idea not to...     (0.19479166666666667, 0.6020833333333333)
291  design and interface makes me feel wow!  it's ...                                  (0.125, 1.0)
292  this app is actually great, i initially gave i...                                (0.125, 0.425)
293  pretty good app, definitely had some bugs but ...                    (0.22142857142857145, 0.6)
294  this up is definitely going to be the death of...    (0.14583333333333334, 0.42916666666666664)
295  vero is such a colorful breath of fresh air! n...      (0.2794270833333333, 0.3916666666666667)
296  this is an awesome app i would really recommen...                  (0.35833333333333334, 0.525)
297  ui is awesome, how about appshortcut nougat fe...                                    (1.0, 1.0)
298  yeah it's alpha beta, but don't give it a bad ...    (-0.09999999999999992, 0.5833333333333333)
299  love the concept and the app looks clean and n...     (0.1418997668997669, 0.49393939393939384)
300  so far i'm loving it! had a few bugs but it's ...                                 (0.355, 0.61)
301  seamless, beautiful and exciting. the true ref...     (0.32833333333333337, 0.5233333333333334)
302  dope app. a great platform for those who want ...                                   (0.8, 0.75)
303  "instagram killer" vero launches to number one...                                    (0.0, 0.0)
304  it's amazing. i love it's really well coded an...                                (0.475, 0.675)
305  this app is really underrated. it works amazin...     (0.43333333333333335, 0.7000000000000001)
306  still new but promising. i will the simplicity...     (0.16818181818181818, 0.4772727272727273)
307  fun but slow and needs more famous people to h...                                 (0.25, 0.525)
308  about time to challenge crappy facebook good l...                     (0.7, 0.6000000000000001)
309  very good looking app. pretty easy to use. i h...      (0.5311111111111111, 0.8711111111111113)
310  after the update,its fantastic but still needs...                                    (0.4, 0.9)
311  i love this app. barely log on to insta anymor...     (0.38333333333333336, 0.5333333333333333)
312  really like the app, logging in takes ungodly ...    (0.07500000000000001, 0.30000000000000004)
313  so far i love thus app. fun and allows a lot m...                                 (0.35, 0.575)
314  my wife and i love vero and we are happy to be...                                   (0.65, 0.8)
315  lots of potential! bugs are because of the hug...                   (0.20000000000000004, 0.95)
316  it's good , it's only beta version but not bad...      (0.3499999999999999, 0.7555555555555555)
317  it's an great alternative to instagram if used...                                 (0.75, 0.825)
318  its awesome social app but more awesome for ar...      (0.6333333333333333, 0.6416666666666666)
319  fabulous app i loved it having my best experie...      (0.7000000000000001, 0.7000000000000001)
320  امکاناتشو دوست دارم با اینستا تفاوت های بارزی ...                                    (0.0, 0.0)
321                it's a great start with us in mind!                                   (1.0, 0.75)
322  love this app. a refreshing change from instag...                                    (0.5, 0.8)
323  well done rly good app , this is what i were w...                     (0.7, 0.6000000000000001)
324     great visuals, looking forward to it's growth.                                   (0.8, 0.75)
325                        best app,follow ali hedayat                                    (1.0, 0.3)
326                  its great and it will get better.                                 (0.65, 0.625)
327              fun app.  the design are really nice.                    (0.44999999999999996, 0.6)
328                      great app, bye bye instagram                                    (0.8, 0.75)
329   للامام وما يهمكم الحملات ضدكم لانكم عرب كل الدعم                                    (0.0, 0.0)
330     really great concept and i hope it catches on!                                   (1.0, 0.75)
331                         great new social media app    (0.32323232323232326, 0.42373737373737375)
332                       this app has great potential                                  (0.4, 0.875)
333  so far i love the vero app. clean, engaging, l...     (0.23472222222222225, 0.5611111111111111)
334                i love it! no algorithm! thank you!                              (0.9765625, 0.6)
335                 beta stage but this will be huge!!                     (0.6250000000000001, 0.9)
336                                 great app, so far.                                 (0.45, 0.875)
337                              top app...i love vero                                   (0.5, 0.55)
338                                  pretty cool app!!                            (0.3984375, 0.825)
339                    it's awesome... make it better                                   (0.75, 0.75)
340                             shows great potential.                                  (0.4, 0.875)
341                            very good & nice social      (0.5144444444444444, 0.6155555555555556)
342  zack snyder uses vero!!!!! unfortunately requi...                                  (-0.25, 0.5)
343                        so far this one is the best                                  (0.55, 0.65)
344                                     fantastic app                                     (0.4, 0.9)
345                                              cool!                                (0.4375, 0.65)
