                                      extracted_emojis                               Sentiment_score
166  excellent professional networking platform. ke...                                  (0.55, 0.55)
167  great way to meet business contacts and connec...                                 (0.45, 0.425)
168  very exited to working with everone got to hel...    (0.26666666666666666, 0.43333333333333335)
169  very good when looking for a job matches you u...     (0.37166666666666665, 0.4733333333333334)
170  its is professional and very helpfull as well ...                    (0.15000000000000002, 0.2)
171  best platform ever for working professionals a...                                    (1.0, 0.3)
172  easy to filled out and you really get fast res...     (0.30833333333333335, 0.6333333333333333)
173  easy to use and has vast professional networki...     (0.17777777777777778, 0.6444444444444445)
174  according to me, best platform for learning & ...                                    (1.0, 0.3)
175  i think this apps helping improve anyone her c...                                    (0.0, 0.0)
176  perfect app for professional for connection sk...                     (0.6, 0.5666666666666668)
177  very user friendly. jobs are pretty explainitory.                    (0.27499999999999997, 0.6)
178  great app for linking professional people with...                                 (0.45, 0.425)
179  it's very useful app ever. i have mostly use t...      (0.2815909090909091, 0.2636363636363636)
180  great networking opportunities and a good way ...                                 (0.75, 0.675)
181  it's really nice app that become useful for yo...                    (0.44999999999999996, 0.5)
182  well designed, smooth platform, that does the ...                                    (0.5, 0.5)
183  really helpful and revolutionary network speci...      (0.2785714285714286, 0.3857142857142857)
184  its wonderful app, for business activities and...                                    (0.6, 0.6)
185  very useful platform with all required functio...                                   (0.39, 0.0)
186  please make sure cyrillic letters (а, б, в г, ...      (0.2619047619047619, 0.8082010582010581)
187  this is well suppoorting platform for needy .a...                                    (0.0, 0.0)
188  totally up to date. fairly interactive. very g...                    (0.5366666666666666, 0.81)
189  it's very very useful for job seeker easy to f...      (0.4116666666666667, 0.4166666666666667)
190  the best way to keep up with trending tech and...                                    (1.0, 0.3)
191  excellent app to connect with business insider...                                    (1.0, 1.0)
192  very useful app for searching job and communic...                    (0.14500000000000002, 0.2)
193  thank you for helping us communicating with ea...      (0.9099999999999999, 0.7800000000000001)
194  helps you to connect with the right people and...     (0.35952380952380947, 0.6345238095238095)
195  sincerely, honestly, honour, dedicated, very p...       (0.347797619047619, 0.6207142857142857)
196  it was nice and frequently receiving my notifi...                                    (0.3, 0.5)
197  i enjoy watching the successes i see here and ...                            (0.31875, 0.46875)
198  rate my experience for ads shown inside the sa...     (0.43333333333333335, 0.8333333333333334)
199  very good app for job seeker and employees and...      (0.9099999999999999, 0.7800000000000001)
200  convenient and effective way to find a job and...                                    (0.6, 0.8)
201  the updates are unbelievable i'm speechless an...                    (0.25, 0.6666666666666666)
202  it connects people of your choice for more opp...                                 (0.65, 0.625)
203  this is such a great app with best ui thanq li...    (0.47500000000000003, 0.41250000000000003)
204  a very good platform to learn and grow profess...                  (0.505, 0.44000000000000006)
205          amazing app, short and simple. go for it.     (0.20000000000000004, 0.5190476190476191)
206  very nice app, everything is connected so when...                                   (0.49, 0.6)
207  best application for job postings and job search!                                    (1.0, 0.3)
208  following a link to the app keeps redirecting ...                                    (0.0, 0.1)
209  like the sharing of health and wellness for pr...                                    (0.0, 0.0)
210  enhanced skills and knowledge within network a...                                    (0.0, 0.0)
211  great way to network and find better opportuni...                                 (0.65, 0.625)
212  i love this app, it has given me so many oppor...                                (0.5625, 0.55)
213  very helpful in helping poeple find the best j...                    (0.5833333333333334, 0.45)
214  wonderful app for connecting with great people...                                  (0.9, 0.875)
215                  best app to search and find jobs.                                    (1.0, 0.3)
216  dependable and sustains professional integrity...    (0.16666666666666666, 0.16666666666666666)
217  i have fell in love with this here app apparen...                   (0.325, 0.4800000000000001)
218  a versatile and a very effective tool for the ...                                   (0.78, 1.0)
219  very good and easy to use with connection buil...      (0.6716666666666666, 0.8066666666666668)
220  some times u have to reset ur account and it's...                                    (0.0, 0.0)
221  amazing app...very helpful for job searching...!!                     (0.9375000000000001, 0.9)
222  great app which really helpful to you grow and...                                  (0.5, 0.475)
223                   simple interface and easy to use     (0.21666666666666667, 0.5952380952380952)
224  love this app it's super easy and excellent fo...                   (0.5666666666666667, 0.775)
225  that was good to search some jobs and to make ...                                   (0.6, 0.55)
226  very convenient app for expanding one's profes...                    (0.15000000000000002, 0.2)
227  excellent app to get a job nationally and inte...                                    (0.5, 0.5)
228  easy to use the application and a good method ...      (0.5444444444444444, 0.6444444444444445)
229  using this app has made it so much easier on f...     (0.2333333333333333, 0.30833333333333335)
230  i like to be back ,my pro direction like story...     (0.2783333333333333, 0.45833333333333337)
231  wonderful and exceptional experience. i have n...      (0.3519191919191919, 0.5260732323232323)
232  upon opening the new app the design seems easy...     (0.28371212121212125, 0.6359848484848486)
233  this app is so awesome i like this that app be...      (0.3723140495867768, 0.5516528925619834)
234  i think i can honestly say this app has change...                    (0.3427272727272727, 0.52)
235  great for job ready peasants like myself only ...                                 (0.2, 0.5875)
236  best app for making new friends and for jobs. ...      (0.6454545454545454, 0.5848484848484848)
237  linkedin. a classic. people joke cuz they look...     (0.40595238095238095, 0.5952380952380952)
238  this app has been very good but for the past t...     (0.32999999999999996, 0.5150000000000001)
239  this is a great way and platform in order to e...                  (0.29333333333333333, 0.425)
240  it is good platform to connect with right pers...     (0.32857142857142857, 0.4785714285714286)
241  linkedin is a very useful career networking pl...    (0.20583333333333334, 0.23333333333333334)
242  has an easy user interface. quite intuitive fo...     (0.36583333333333334, 0.5416666666666667)
243  i just a minor issue , at times different imag...                                 (-0.025, 0.4)
244  it's a wonderful platform to meet people. look...                                    (0.9, 0.6)
245  using linkedin for last 7+ years and it has be...      (0.4699999999999999, 0.5905555555555556)
246  it is peaking my interest to get back into the...     (0.3583333333333333, 0.37416666666666665)
