                                      extracted_emojis                               Sentiment_score
205  love the reel option but i don't know why i ca...                   (0.42, 0.49666666666666665)
206  very nice app...convince to use it at least on...                                (0.295, 0.525)
207  instagram really help me save time by uploadin...     (0.3333333333333333, 0.35833333333333334)
208  great way to connect to world! and good for th...      (0.5840909090909091, 0.5761363636363637)
209  hated this platform in the beginning but now t...    (0.033333333333333326, 0.6833333333333332)
210  it's too good to use because there are many ne...     (0.3840909090909091, 0.43863636363636366)
211  there's an affabilility aspect to instagram.i ...                                  (0.55, 0.75)
212  i mate my few past school friends in instagram...    (0.030357142857142853, 0.2833333333333333)
213  this app is too good to people who can share t...                   (0.875, 0.6000000000000001)
214  a aap which useful , full of entertainment etc...                                  (0.43, 0.43)
215  aahh have some time i can't text on insta it's...   (0.008333333333333331, 0.10000000000000002)
216  on my mind-set, this app needs a higher rate o...                                  (0.375, 0.5)
217  i love the app. easy to use. and it's fun to m...     (0.33244949494949494, 0.5521464646464647)
218  i am learning to use instagram with canva - it...     (0.47393939393939394, 0.7275757575757577)
219  cool but the algorithm is deteriorating. ya ca...     (0.6166666666666667, 0.48333333333333334)
220  easily navigation, clean ui, well design photo...                     (0.4, 0.7666666666666667)
221  the best social media after facebook i like it...     (0.4866666666666667, 0.37333333333333335)
222  a great app to stay in touch with others and e...                                   (0.8, 0.75)
223  aswome but in call its not working properly an...     (0.07649350649350649, 0.2768831168831169)
224  excellent app! it is great for learning, earni...                                  (1.0, 0.875)
225  make a search function when saving posts inste...                               (0.3375, 0.725)
226  thanks for instagram, i enjoy how family can i...                  (0.35500000000000004, 0.485)
227  instagram is a good app after tik tok banned f...                                (0.675, 0.775)
228  i m facing password change issue since long we...                                 (-0.125, 0.4)
229  dear instagram team my instagram story music a...                                    (0.0, 0.0)
230  the best experience. so many possibilities eas...      (0.4057142857142857, 0.5885714285714286)
231  hii instagram team i am a regular user but my ...                      (0.0, 0.358974358974359)
232  i love it because it is up to fate with everyt...      (0.6339285714285714, 0.7142857142857143)
233  totally having a great time when i'm doing thi...     (0.26666666666666666, 0.7000000000000001)
234  horrible! been using for over 3 years and now ...                    (-0.3, 0.7333333333333334)
235  love this app im on multiple platforms doing c...    (0.36428571428571427, 0.48333333333333334)
236  i love it but when i watch reels i cant save t...                   (0.375, 0.4666666666666667)
237  hey instagram! i post my story in highlights b...                                    (0.0, 0.0)
238  this app is really so nice and cool but l have...                                  (0.19, 0.73)
239  great product from a great company. we may be ...      (0.5333333333333333, 0.8333333333333334)
240  is good but if you could put easy way to delet...      (0.5666666666666667, 0.7166666666666668)
241  i really appreciate and love this app it's hav...                    (0.41428571428571426, 0.5)
242  use as a mom and personally. great way to keep...                    (0.5583333333333333, 0.75)
243  it's wonderful application and all facilities ...                   (0.525, 0.6375000000000001)
244  is pretty good. lots of bugs tho and the mobil...                            (0.20625, 0.49375)
245  i am using instagram from 2yrs but their alway...    (-0.16666666666666666, 0.4166666666666667)
246  not satisfied with instagram thesedays.if you ...                           (-0.06875, 0.56875)
247  my one suggestion is that after the story is u...                                 (0.45, 0.575)
248  when launching there is a black screen ive tri...     (0.04166666666666671, 0.6666666666666666)
249  i love how easy it is to use. i'm still learni...     (0.20833333333333331, 0.5083333333333334)
250  hack found for all my android users especially...     (0.20208333333333334, 0.5083333333333333)
251  it's been a blessing to me through it's wide r...                                   (-0.1, 0.4)
252  in this application reels video and message se...      (0.6333333333333333, 0.7333333333333334)
253  this app is very superb. but after the update ...      (0.3333333333333333, 0.6666666666666666)
254  awesome just started really using it , but its...                     (0.5, 0.4666666666666666)
255  i was hesitant to dive into the social media w...       (0.3206060606060606, 0.530909090909091)
256  love the app! "all for the gram h**s love the ...      (0.5089285714285714, 0.7285714285714286)
257  its very useful aap. u always use this aap on ...    (0.36333333333333334, 0.26666666666666666)
258  i have enjoyed many wonderful shared experienc...                                    (0.5, 0.6)
259  okk so this the bestttt app u don't have to wo...                                   (0.4, 0.45)
260  excellent features..... but update will come i...                                    (1.0, 1.0)
